itemName(),action,agent,client,component,duration,ip,map,time,user
2011-10-04T19:30:33.915_206.136.32.232,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.232,11,2011-10-04T19:30:33.915,1
2011-10-04T19:30:36.474_206.136.32.232,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.232,11,2011-10-04T19:30:36.474,1
2011-10-04T19:30:40.374_206.136.32.232,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.232,11,2011-10-04T19:30:40.374,1
2011-10-04T19:30:49.532_206.136.32.232,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.232,11,2011-10-04T19:30:49.532,1
2011-10-04T19:30:53.869_206.136.32.232,dragThumb,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,9,206.136.32.232,11,2011-10-04T19:30:53.869,1
2011-10-05T18:52:47.570_206.136.32.237,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-05T18:52:47.570,
2011-10-05T18:52:53.264_206.136.32.237,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-05T18:52:53.264,
2011-10-06T16:54:57.126_4.53.4.66,startAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:54:57.126,
2011-10-06T16:55:13.491_4.53.4.66,stopAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:13.491,
2011-10-06T16:55:18.530_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:18.530,
